RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
1,2008,,,,,,,,,
2,2008,1.0,1.0,,,1.0,1.0,,,
3,2008,,,,,,,,,
4,2008,,,3.0,1.0,,,,,
5,2008,1.0,4.0,,,0.0,1.0,1.0,5.0,5.0
6,2008,1.0,5.0,,,1.0,1.0,3.0,3.0,4.0
7,2008,,3.0,,,1.0,1.0,2.0,4.0,4.0
8,2008,2.0,8.0,,0.0,1.0,0.0,5.0,1.0,5.0
9,2008,1.0,3.0,,,1.0,1.0,3.0,3.0,4.0
10,2008,,,,,,,,,
11,2008,1.0,1.0,3.0,,0.0,0.0,1.0,1.0,1.0
12,2008,,,0.0,0.0,,,,,
13,2008,2.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
14,2008,2.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0
15,2008,2.0,3.0,,,1.0,1.0,2.0,4.0,5.0
16,2008,1.0,5.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0
17,2008,1.0,4.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0
18,2008,1.0,8.0,,,1.0,1.0,4.0,5.0,3.0
19,2008,2.0,3.0,1.0,0.0,0.0,1.0,,,
20,2008,2.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0
21,2008,2.0,8.0,,,,,3.0,3.0,3.0
22,2008,1.0,1.0,1.0,0.0,0.0,1.0,,,
23,2008,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0
24,2008,1.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0,2.0
25,2008,,4.0,,,0.0,1.0,1.0,2.0,3.0
26,2008,2.0,8.0,,1.0,1.0,1.0,4.0,1.0,5.0
27,2008,2.0,8.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0
28,2008,2.0,2.0,2.0,1.0,0.0,1.0,5.0,4.0,2.0
29,2008,1.0,8.0,,,1.0,1.0,4.0,5.0,5.0
30,2008,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0
31,2008,2.0,8.0,3.0,0.0,0.0,1.0,4.0,4.0,3.0
32,2008,1.0,8.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0
33,2008,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0
34,2008,1.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,5.0
35,2008,1.0,8.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0
36,2008,2.0,8.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0
37,2008,2.0,8.0,1.0,0.0,0.0,0.0,4.0,2.0,5.0
38,2008,1.0,8.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0
39,2008,1.0,8.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0
40,2008,2.0,8.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0
41,2008,1.0,8.0,3.0,1.0,0.0,1.0,5.0,5.0,4.0
42,2008,1.0,3.0,3.0,1.0,1.0,1.0,,,
43,2008,2.0,4.0,3.0,0.0,1.0,0.0,5.0,4.0,4.0
44,2008,1.0,2.0,,,1.0,1.0,5.0,4.0,3.0
45,2008,2.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0
46,2008,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0
47,2008,2.0,8.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0
48,2008,1.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0
49,2008,1.0,3.0,3.0,1.0,,,4.0,4.0,5.0
50,2008,2.0,3.0,,,1.0,0.0,3.0,3.0,3.0
51,2008,1.0,8.0,2.0,0.0,0.0,1.0,4.0,5.0,4.0
52,2008,2.0,8.0,,,1.0,1.0,5.0,5.0,1.0
53,2008,1.0,8.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0
54,2008,1.0,,1.0,1.0,,,,,
55,2008,2.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
56,2008,2.0,8.0,3.0,,1.0,0.0,1.0,3.0,5.0
57,2008,1.0,8.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0
58,2008,2.0,8.0,,,1.0,1.0,4.0,5.0,4.0
59,2008,2.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0
60,2008,1.0,,2.0,1.0,1.0,1.0,,,
61,2008,1.0,8.0,3.0,1.0,0.0,1.0,2.0,4.0,4.0
62,2008,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0
63,2008,2.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
64,2008,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
65,2008,1.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0
66,2008,2.0,4.0,3.0,1.0,0.0,1.0,5.0,1.0,5.0
67,2008,1.0,8.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
68,2008,1.0,8.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0
69,2008,2.0,4.0,3.0,1.0,0.0,1.0,5.0,3.0,4.0
70,2008,2.0,8.0,2.0,1.0,1.0,0.0,5.0,4.0,4.0
71,2008,2.0,3.0,,,0.0,1.0,4.0,5.0,4.0
72,2008,2.0,8.0,1.0,1.0,0.0,1.0,,,
73,2008,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0
74,2008,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
75,2008,,,3.0,0.0,,,,,
76,2008,2.0,8.0,,,,,5.0,5.0,5.0
77,2008,2.0,8.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0
78,2008,2.0,8.0,2.0,0.0,1.0,1.0,5.0,5.0,5.0
79,2008,2.0,8.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0
80,2008,2.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,2.0
81,2008,1.0,3.0,1.0,0.0,1.0,1.0,5.0,4.0,3.0
82,2008,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
83,2008,2.0,3.0,3.0,1.0,0.0,0.0,5.0,3.0,2.0
84,2008,1.0,3.0,2.0,1.0,1.0,1.0,5.0,,
85,2008,2.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0
86,2008,2.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0
87,2008,1.0,8.0,3.0,1.0,0.0,1.0,2.0,3.0,5.0
88,2008,1.0,8.0,3.0,1.0,0.0,1.0,4.0,1.0,4.0
89,2008,1.0,8.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0
90,2008,1.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0
91,2008,2.0,8.0,,,1.0,1.0,3.0,5.0,4.0
92,2008,2.0,8.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0
93,2008,1.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0
94,2008,1.0,8.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0
95,2008,1.0,4.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0
96,2008,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
97,2008,1.0,3.0,3.0,0.0,1.0,1.0,5.0,2.0,4.0
98,2008,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0
99,2008,2.0,4.0,2.0,0.0,0.0,1.0,5.0,1.0,5.0
100,2008,2.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0
101,2008,2.0,,3.0,0.0,,,,,
102,2008,2.0,3.0,,,1.0,1.0,4.0,4.0,5.0
103,2008,1.0,,3.0,1.0,,,,,
104,2008,1.0,8.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0
105,2008,,4.0,3.0,1.0,1.0,0.0,4.0,4.0,3.0
106,2008,2.0,8.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0
107,2008,2.0,8.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0
108,2008,1.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,5.0
109,2008,2.0,8.0,3.0,1.0,1.0,0.0,4.0,1.0,5.0
110,2008,2.0,3.0,3.0,0.0,1.0,1.0,5.0,1.0,4.0
111,2008,1.0,2.0,3.0,0.0,0.0,1.0,5.0,5.0,5.0
112,2008,2.0,3.0,2.0,1.0,0.0,1.0,,,
113,2008,2.0,8.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0
114,2008,1.0,4.0,0.0,0.0,0.0,0.0,5.0,,5.0
115,2008,2.0,8.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0
116,2008,2.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0
117,2008,2.0,8.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0
118,2008,1.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,
119,2008,1.0,8.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0
120,2008,2.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0
121,2008,2.0,4.0,2.0,0.0,0.0,1.0,4.0,2.0,4.0
122,2008,1.0,8.0,1.0,1.0,1.0,1.0,,,
123,2008,1.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
124,2008,2.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0
125,2008,2.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0,5.0
126,2008,1.0,3.0,3.0,1.0,0.0,1.0,3.0,4.0,4.0
127,2008,2.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0
128,2008,2.0,8.0,2.0,0.0,0.0,1.0,5.0,1.0,4.0
129,2008,2.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0
130,2008,2.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0
131,2008,2.0,3.0,3.0,0.0,0.0,1.0,4.0,4.0,5.0
132,2008,1.0,3.0,3.0,0.0,0.0,1.0,5.0,2.0,5.0
