RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
1,2001,,,1.0,0.0,,,,,
2,2001,,,,,,,5.0,,
3,2001,,,,,,,,,
4,2001,1.0,6.0,,,1.0,1.0,4.0,3.0,5.0
5,2001,1.0,,,,0.0,1.0,,,
6,2001,,,,,,,,,
7,2001,1.0,,,,0.0,1.0,1.0,1.0,1.0
8,2001,1.0,,,,1.0,1.0,4.0,5.0,4.0
9,2001,2.0,4.0,2.0,1.0,0.0,0.0,,,
10,2001,2.0,,1.0,0.0,1.0,1.0,4.0,4.0,4.0
11,2001,2.0,,2.0,1.0,1.0,1.0,,,
12,2001,1.0,6.0,0.0,0.0,1.0,1.0,,,
13,2001,1.0,2.0,2.0,0.0,1.0,1.0,5.0,4.0,5.0
14,2001,1.0,,3.0,1.0,1.0,1.0,2.0,5.0,4.0
15,2001,1.0,4.0,1.0,1.0,1.0,1.0,,,
16,2001,,,1.0,1.0,,,,,
17,2001,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
18,2001,1.0,,2.0,1.0,1.0,1.0,3.0,3.0,3.0
19,2001,1.0,,2.0,1.0,0.0,1.0,2.0,2.0,4.0
20,2001,1.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0
21,2001,2.0,,2.0,1.0,1.0,1.0,2.0,,
22,2001,2.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0
23,2001,1.0,6.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
24,2001,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0
25,2001,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0
26,2001,2.0,,3.0,1.0,,,,,
27,2001,2.0,,,,0.0,0.0,3.0,4.0,2.0
28,2001,1.0,,1.0,1.0,1.0,1.0,2.0,5.0,3.0
29,2001,2.0,,3.0,1.0,0.0,1.0,4.0,4.0,2.0
30,2001,2.0,4.0,2.0,1.0,1.0,1.0,,,
31,2001,1.0,4.0,2.0,0.0,1.0,1.0,4.0,2.0,3.0
32,2001,2.0,,3.0,1.0,1.0,1.0,3.0,3.0,3.0
33,2001,2.0,,1.0,0.0,1.0,1.0,,,
34,2001,,,1.0,0.0,,,,,
35,2001,2.0,,3.0,0.0,0.0,1.0,2.0,4.0,5.0
36,2001,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,5.0
37,2001,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0
38,2001,2.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0
39,2001,1.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,4.0
40,2001,1.0,,2.0,1.0,1.0,1.0,5.0,4.0,4.0
41,2001,2.0,3.0,3.0,1.0,0.0,1.0,3.0,4.0,4.0
42,2001,1.0,,2.0,1.0,0.0,1.0,4.0,4.0,1.0
43,2001,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0
44,2001,2.0,4.0,,,1.0,1.0,,,
