RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
52174,2019,2.0,3.0,1.0,1.0,1.0,1.0,4.0,,
51882,2019,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0
51728,2019,2.0,8.0,,0.0,0.0,1.0,2.0,2.0,2.0
50724,2019,2.0,3.0,2.0,0.0,1.0,1.0,5.0,5.0,5.0
51997,2019,1.0,3.0,2.0,1.0,0.0,1.0,,,
51906,2019,2.0,3.0,,1.0,0.0,1.0,5.0,5.0,5.0
51815,2019,2.0,6.0,,0.0,0.0,0.0,4.0,4.0,2.0
51918,2019,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,5.0
50765,2019,2.0,8.0,,0.0,0.0,0.0,3.0,3.0,3.0
50943,2019,2.0,8.0,,0.0,1.0,1.0,3.0,4.0,3.0
52345,2019,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
51833,2019,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,5.0
51233,2019,1.0,2.0,2.0,0.0,0.0,1.0,5.0,5.0,1.0
52582,2019,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0
51160,2019,2.0,4.0,2.0,1.0,0.0,1.0,5.0,2.0,4.0
51227,2019,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
50172,2019,2.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0
52408,2019,2.0,3.0,2.0,0.0,1.0,1.0,4.0,3.0,4.0
51229,2019,1.0,2.0,,0.0,1.0,1.0,4.0,4.0,4.0
50887,2019,1.0,2.0,,1.0,1.0,1.0,4.0,3.0,4.0
52421,2019,2.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0
51487,2019,1.0,1.0,,0.0,1.0,1.0,5.0,5.0,5.0
52331,2019,1.0,4.0,,1.0,0.0,0.0,3.0,3.0,3.0
52553,2019,1.0,8.0,2.0,1.0,0.0,1.0,3.0,2.0,4.0
51178,2019,2.0,8.0,,1.0,1.0,0.0,2.0,5.0,2.0
52472,2019,2.0,8.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0
52019,2019,2.0,8.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
50374,2019,1.0,2.0,,1.0,0.0,1.0,3.0,4.0,2.0
51041,2019,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,4.0
52434,2019,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
50517,2019,1.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0
50664,2019,1.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0
52435,2019,1.0,5.0,,1.0,1.0,1.0,3.0,1.0,5.0
51187,2019,2.0,5.0,1.0,0.0,0.0,1.0,2.0,4.0,5.0
50063,2019,2.0,8.0,,0.0,1.0,1.0,5.0,5.0,2.0
51499,2019,2.0,8.0,2.0,1.0,1.0,0.0,5.0,4.0,2.0
50679,2019,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,5.0
52304,2019,2.0,,,1.0,0.0,1.0,,3.0,4.0
52005,2019,1.0,8.0,1.0,0.0,1.0,1.0,,,
50824,2019,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0
