RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50001,2014,2,8,1.0,1,1,1,4,4,5
50002,2014,2,3,,1,0,1,3,3,4
50003,2014,2,8,,0,0,1,4,4,4
50004,2014,1,2,2.0,1,1,1,2,1,5
50005,2014,2,8,2.0,1,1,1,2,3,3
50006,2014,1,3,,0,0,1,1,1,5
50007,2014,2,3,,1,0,0,4,4,5
50008,2014,2,8,1.0,1,1,1,1,1,5
50009,2014,1,8,,0,0,0,1,1,5
50010,2014,2,8,,1,1,0,4,3,4
50011,2014,2,3,2.0,0,1,0,2,1,5
50012,2014,2,8,2.0,1,1,1,2,3,3
50013,2014,2,4,1.0,1,1,1,4,3,3
50014,2014,1,8,2.0,0,1,0,4,5,5
50015,2014,2,8,1.0,0,0,1,5,5,5
50016,2014,2,8,2.0,1,1,1,5,3,5
50017,2014,1,4,,1,1,0,4,5,5
50018,2014,2,8,,1,0,1,4,1,5
50019,2014,1,8,,1,0,1,3,5,4
50020,2014,1,8,,0,1,1,2,4,4
50021,2014,1,2,1.0,0,1,1,1,2,4
50022,2014,2,8,1.0,1,1,1,4,5,5
50023,2014,2,8,2.0,0,0,1,1,5,4
50024,2014,2,3,,0,0,0,5,5,5
50025,2014,2,8,,1,0,1,4,4,5
50026,2014,1,6,,1,0,1,3,3,3
50027,2014,1,6,,1,1,1,1,4,4
50028,2014,2,8,,0,0,0,1,4,2
50029,2014,2,8,,1,1,1,1,1,4
50030,2014,2,5,,1,1,1,-9,-9,-9
50031,2014,1,3,,1,0,0,3,4,3
50032,2014,1,8,,0,0,0,1,1,5
50033,2014,2,3,1.0,0,0,1,4,5,4
50034,2014,2,8,2.0,1,0,0,4,4,4
50035,2014,2,8,2.0,0,0,1,3,4,4
50036,2014,1,8,1.0,0,0,0,-9,-9,-9
50037,2014,2,3,,1,1,1,2,2,4
50038,2014,1,8,2.0,1,1,1,3,4,3
50039,2014,2,8,1.0,1,1,1,1,1,5
50040,2014,2,8,1.0,1,0,1,4,3,4
50041,2014,2,4,2.0,1,1,1,4,2,4
50042,2014,1,8,,1,1,1,1,1,5
50043,2014,2,1,,0,0,0,4,4,4
50044,2014,1,2,1.0,1,1,1,2,1,4
50045,2014,2,8,1.0,1,1,1,4,5,3
50046,2014,1,3,,1,1,1,2,2,5
50047,2014,1,3,1.0,1,1,1,2,1,5
50048,2014,1,8,2.0,0,0,0,-9,3,3
50049,2014,2,3,,1,1,1,1,2,5
50050,2014,2,8,,1,1,1,4,1,5
50051,2014,1,8,1.0,1,0,1,1,1,4
50052,2014,1,1,2.0,0,1,1,1,5,5
50053,2014,2,2,,1,1,1,2,4,4
50054,2014,2,8,2.0,1,1,1,1,1,5
50055,2014,1,8,2.0,0,0,1,3,4,4
50056,2014,-9,8,2.0,1,1,1,3,3,3
50057,2014,2,3,2.0,0,0,0,4,5,5
50058,2014,1,8,2.0,1,1,1,1,1,1
50059,2014,2,8,,1,1,0,4,3,3
50060,2014,2,8,,0,1,1,-9,-9,-9
50061,2014,2,4,2.0,0,0,1,5,3,3
50062,2014,1,8,2.0,1,1,1,4,5,4
50063,2014,1,1,,0,0,0,4,4,2
50064,2014,2,8,,1,1,1,1,4,4
