RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50001,2017,2.0,8.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0
50002,2017,2.0,3.0,,1.0,1.0,1.0,5.0,1.0,5.0
50003,2017,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0
50004,2017,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0
50005,2017,2.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0
50006,2017,2.0,1.0,,0.0,0.0,0.0,1.0,1.0,4.0
50007,2017,1.0,3.0,,0.0,0.0,0.0,1.0,1.0,5.0
50008,2017,2.0,8.0,,1.0,0.0,1.0,5.0,5.0,5.0
50009,2017,2.0,8.0,1.0,0.0,1.0,1.0,5.0,2.0,5.0
50010,2017,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0
50011,2017,1.0,8.0,,0.0,0.0,0.0,,2.0,2.0
50012,2017,2.0,8.0,,1.0,0.0,1.0,2.0,4.0,4.0
50013,2017,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0
50014,2017,1.0,8.0,,1.0,1.0,0.0,3.0,3.0,4.0
50027,2017,2.0,8.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0
50028,2017,2.0,4.0,,1.0,0.0,1.0,4.0,3.0,3.0
50029,2017,1.0,8.0,,0.0,0.0,1.0,2.0,5.0,2.0
50030,2017,2.0,8.0,,1.0,1.0,1.0,5.0,5.0,5.0
50031,2017,1.0,8.0,,1.0,0.0,1.0,3.0,3.0,3.0
50032,2017,2.0,8.0,,1.0,1.0,1.0,4.0,1.0,5.0
50033,2017,1.0,8.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0
50034,2017,,5.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0
50035,2017,2.0,8.0,,1.0,0.0,1.0,3.0,4.0,4.0
50036,2017,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0
50037,2017,1.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0
50038,2017,,3.0,,0.0,1.0,1.0,1.0,2.0,5.0
50039,2017,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0
50040,2017,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
50041,2017,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0
50042,2017,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,5.0
50043,2017,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0
50044,2017,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,
50045,2017,,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0
50046,2017,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
50047,2017,2.0,5.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0
50048,2017,1.0,3.0,,1.0,1.0,1.0,5.0,5.0,1.0
50049,2017,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
50050,2017,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0
50051,2017,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
50052,2017,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0
50053,2017,2.0,8.0,,0.0,0.0,1.0,1.0,4.0,4.0
50054,2017,2.0,8.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0
50055,2017,1.0,8.0,1.0,0.0,0.0,1.0,3.0,2.0,4.0
50056,2017,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,5.0
50057,2017,1.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0
50058,2017,,2.0,,,,,1.0,1.0,4.0
50059,2017,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0
50060,2017,2.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,5.0
50061,2017,1.0,3.0,,0.0,1.0,1.0,5.0,5.0,4.0
50062,2017,2.0,8.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0
50063,2017,2.0,5.0,2.0,0.0,1.0,1.0,5.0,1.0,5.0
50064,2017,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
50065,2017,1.0,8.0,,1.0,1.0,1.0,4.0,3.0,5.0
50066,2017,1.0,2.0,1.0,1.0,1.0,1.0,,,
50067,2017,2.0,8.0,1.0,1.0,0.0,1.0,4.0,4.0,4.0
50068,2017,1.0,8.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0
50069,2017,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,5.0
50070,2017,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,
50071,2017,2.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0
50072,2017,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
50073,2017,2.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0
50074,2017,2.0,3.0,,1.0,1.0,1.0,4.0,4.0,4.0
50075,2017,2.0,8.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0
50076,2017,1.0,8.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0
50077,2017,2.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50078,2017,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0
50079,2017,2.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0
50080,2017,2.0,8.0,2.0,1.0,1.0,1.0,5.0,4.0,5.0
50081,2017,1.0,6.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0
50082,2017,2.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0
50083,2017,1.0,8.0,,1.0,1.0,1.0,5.0,1.0,4.0
50084,2017,1.0,4.0,,1.0,0.0,1.0,4.0,3.0,2.0
50085,2017,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
50086,2017,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0
50087,2017,2.0,8.0,2.0,0.0,1.0,1.0,3.0,4.0,4.0
50088,2017,,2.0,2.0,1.0,1.0,1.0,2.0,,2.0
50125,2017,1.0,8.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
50126,2017,2.0,5.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0
50127,2017,1.0,2.0,,1.0,0.0,1.0,2.0,1.0,3.0
50128,2017,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0
50129,2017,1.0,5.0,,1.0,0.0,1.0,5.0,3.0,4.0
50130,2017,2.0,5.0,2.0,1.0,0.0,1.0,4.0,5.0,4.0
50131,2017,1.0,8.0,,1.0,1.0,1.0,3.0,3.0,3.0
50132,2017,2.0,5.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0
50133,2017,2.0,6.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0
50134,2017,2.0,4.0,1.0,0.0,1.0,1.0,4.0,4.0,5.0
50135,2017,2.0,5.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0
50136,2017,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
50137,2017,1.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0
50138,2017,2.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0
50139,2017,2.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0
50140,2017,2.0,4.0,,1.0,1.0,1.0,4.0,4.0,5.0
50141,2017,2.0,4.0,,0.0,0.0,1.0,5.0,5.0,5.0
50142,2017,2.0,8.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0
50143,2017,2.0,4.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0
50144,2017,,,,,,,,,
50145,2017,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0
50146,2017,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0
50147,2017,1.0,3.0,,1.0,0.0,1.0,4.0,3.0,4.0
50148,2017,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0
50149,2017,2.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,5.0
50150,2017,,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0
50151,2017,2.0,2.0,,1.0,1.0,1.0,4.0,1.0,4.0
50152,2017,2.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0
50153,2017,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0
50154,2017,2.0,4.0,,1.0,1.0,1.0,1.0,5.0,5.0
50155,2017,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0
50156,2017,1.0,8.0,,1.0,0.0,1.0,2.0,2.0,4.0
50157,2017,1.0,3.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0
50158,2017,2.0,4.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0
50159,2017,2.0,,2.0,0.0,1.0,1.0,4.0,5.0,
50192,2017,1.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
50193,2017,1.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50194,2017,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0
50195,2017,2.0,8.0,2.0,1.0,1.0,0.0,5.0,4.0,5.0
50196,2017,,,,,,,,,
50197,2017,2.0,8.0,,1.0,1.0,1.0,4.0,4.0,5.0
50198,2017,1.0,8.0,,1.0,1.0,0.0,3.0,1.0,3.0
50199,2017,,8.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0
50200,2017,1.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0
50201,2017,1.0,8.0,2.0,1.0,1.0,1.0,,,
50202,2017,1.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0
50203,2017,2.0,4.0,,1.0,0.0,1.0,1.0,4.0,5.0
50204,2017,1.0,8.0,,0.0,0.0,0.0,1.0,1.0,1.0
50205,2017,2.0,8.0,,1.0,1.0,1.0,3.0,5.0,5.0
50206,2017,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
50207,2017,2.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0
50208,2017,,3.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0
50209,2017,2.0,8.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0
50210,2017,1.0,8.0,,1.0,1.0,1.0,2.0,3.0,4.0
50211,2017,2.0,3.0,1.0,0.0,1.0,1.0,5.0,3.0,5.0
50212,2017,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0
50213,2017,2.0,5.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0
50214,2017,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50215,2017,,,,,,,,,
50216,2017,2.0,8.0,2.0,0.0,1.0,1.0,3.0,4.0,3.0
50217,2017,2.0,8.0,,1.0,0.0,1.0,5.0,4.0,2.0
50218,2017,2.0,3.0,,1.0,1.0,1.0,5.0,5.0,5.0
50333,2017,1.0,2.0,,1.0,1.0,1.0,1.0,3.0,4.0
50334,2017,1.0,4.0,,0.0,1.0,1.0,1.0,3.0,2.0
50335,2017,2.0,8.0,,0.0,1.0,0.0,5.0,5.0,5.0
50336,2017,1.0,5.0,,1.0,1.0,1.0,5.0,5.0,4.0
50337,2017,1.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
50338,2017,1.0,8.0,2.0,1.0,1.0,1.0,5.0,3.0,3.0
