RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50001,2023,2.0,4.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0
50002,2023,2.0,5.0,3.0,0.0,0.0,1.0,5.0,4.0,4.0
50003,2023,1.0,8.0,2.0,1.0,0.0,1.0,5.0,5.0,4.0
50004,2023,1.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0
50005,2023,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
50006,2023,2.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0
50007,2023,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0
50008,2023,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
50009,2023,1.0,8.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0
50010,2023,4.0,8.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0
50011,2023,2.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0
50012,2023,2.0,8.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
50013,2023,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0
50014,2023,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0
50015,2023,1.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0
50016,2023,1.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,4.0
50017,2023,1.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0
50018,2023,,,,,,,,,
50019,2023,2.0,8.0,1.0,0.0,0.0,1.0,,,
50020,2023,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0
50021,2023,1.0,8.0,3.0,1.0,1.0,1.0,,,
50022,2023,2.0,4.0,1.0,1.0,1.0,1.0,,,
50023,2023,1.0,8.0,3.0,1.0,0.0,1.0,1.0,3.0,5.0
50024,2023,1.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,4.0
50025,2023,1.0,8.0,2.0,1.0,0.0,1.0,3.0,5.0,4.0
50026,2023,2.0,2.0,3.0,0.0,0.0,1.0,4.0,5.0,4.0
