RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50001,2022,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0
50002,2022,2.0,8.0,3.0,1.0,0.0,1.0,5.0,4.0,2.0
50003,2022,2.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,
50004,2022,2.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0
50005,2022,1.0,8.0,3.0,0.0,0.0,0.0,,,
50006,2022,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
50007,2022,2.0,8.0,3.0,1.0,0.0,1.0,,,
50008,2022,2.0,3.0,2.0,1.0,0.0,1.0,5.0,2.0,2.0
50009,2022,2.0,8.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0
50010,2022,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0
50011,2022,2.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0
50012,2022,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0
50013,2022,1.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0
50014,2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
50015,2022,4.0,8.0,2.0,1.0,0.0,1.0,5.0,5.0,2.0
50016,2022,2.0,8.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
50017,2022,1.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0
50018,2022,2.0,8.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0
50019,2022,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0
50020,2022,,,,,,,,,
50021,2022,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0
50022,2022,2.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0
50023,2022,2.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0
50024,2022,4.0,5.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0
50025,2022,2.0,6.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0
50026,2022,1.0,8.0,0.0,0.0,1.0,1.0,4.0,3.0,5.0
50027,2022,2.0,4.0,3.0,1.0,0.0,1.0,4.0,4.0,4.0
50028,2022,2.0,5.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0
50029,2022,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0
50030,2022,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
50031,2022,,,,,,,,,
50032,2022,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
50033,2022,2.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0
50034,2022,1.0,6.0,3.0,0.0,0.0,1.0,2.0,3.0,5.0
50035,2022,1.0,8.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
50036,2022,1.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0
50037,2022,1.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
50038,2022,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
50039,2022,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
50040,2022,2.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0
50041,2022,1.0,8.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0
50042,2022,1.0,4.0,2.0,1.0,1.0,0.0,,,
50043,2022,2.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,3.0
50044,2022,1.0,3.0,2.0,1.0,1.0,1.0,,,
50045,2022,1.0,2.0,1.0,1.0,0.0,1.0,,,
50046,2022,1.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
50047,2022,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0
50048,2022,2.0,6.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0
50049,2022,2.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,5.0
50050,2022,2.0,5.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0
50051,2022,2.0,4.0,2.0,0.0,1.0,1.0,4.0,5.0,2.0
50052,2022,1.0,8.0,2.0,1.0,1.0,1.0,,,
50053,2022,2.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0
50054,2022,2.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0
50055,2022,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0
50056,2022,,,,,,,,,
50057,2022,2.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0
50058,2022,2.0,8.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0
50059,2022,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0
50060,2022,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
50061,2022,2.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0
50062,2022,1.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0
50063,2022,2.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
