RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
1,2000,1.0,2.0,,,1.0,1.0,,,
2,2000,,,1.0,1.0,,,,,
3,2000,,,1.0,0.0,,,,,
4,2000,,,0.0,0.0,,,,,
5,2000,,,3.0,0.0,,,,,
6,2000,,,2.0,1.0,,,,,
7,2000,,,3.0,0.0,,,,,
8,2000,,,3.0,0.0,,,,,
9,2000,,,2.0,1.0,1.0,1.0,,,
10,2000,,,2.0,0.0,,,,,
11,2000,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
12,2000,1.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0
13,2000,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0
14,2000,2.0,4.0,1.0,0.0,1.0,1.0,,,
15,2000,2.0,,2.0,1.0,1.0,1.0,,,
16,2000,1.0,2.0,2.0,1.0,0.0,1.0,5.0,3.0,3.0
17,2000,1.0,,3.0,1.0,1.0,1.0,,,5.0
18,2000,1.0,,3.0,1.0,1.0,1.0,3.0,3.0,3.0
19,2000,1.0,,3.0,1.0,1.0,1.0,4.0,4.0,3.0
20,2000,2.0,,1.0,1.0,1.0,1.0,5.0,5.0,5.0
21,2000,1.0,3.0,3.0,0.0,0.0,1.0,,,
22,2000,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0
23,2000,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
24,2000,2.0,,1.0,0.0,1.0,1.0,4.0,4.0,4.0
25,2000,1.0,,,,1.0,1.0,1.0,1.0,1.0
26,2000,1.0,2.0,3.0,0.0,0.0,1.0,5.0,4.0,4.0
27,2000,2.0,,1.0,,1.0,1.0,5.0,3.0,5.0
28,2000,2.0,6.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0
29,2000,,,,,,,,,
30,2000,1.0,,3.0,1.0,1.0,1.0,5.0,3.0,5.0
31,2000,1.0,,2.0,1.0,1.0,1.0,4.0,2.0,2.0
32,2000,1.0,6.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0
33,2000,1.0,,0.0,0.0,1.0,1.0,2.0,4.0,4.0
34,2000,1.0,,3.0,1.0,0.0,0.0,1.0,1.0,4.0
35,2000,2.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,4.0
36,2000,2.0,,1.0,1.0,0.0,0.0,1.0,5.0,1.0
37,2000,2.0,,3.0,1.0,1.0,1.0,,,
38,2000,,,2.0,0.0,,,,,
39,2000,1.0,,1.0,0.0,1.0,1.0,5.0,5.0,2.0
40,2000,2.0,2.0,,,0.0,1.0,5.0,1.0,1.0
41,2000,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0
42,2000,1.0,,2.0,1.0,0.0,1.0,5.0,5.0,5.0
43,2000,1.0,6.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0
44,2000,1.0,,2.0,0.0,1.0,1.0,1.0,5.0,5.0
45,2000,1.0,,3.0,0.0,0.0,1.0,3.0,3.0,3.0
46,2000,1.0,6.0,1.0,,1.0,1.0,5.0,5.0,3.0
47,2000,1.0,6.0,3.0,1.0,1.0,1.0,4.0,5.0,4.0
48,2000,,,2.0,1.0,0.0,0.0,2.0,3.0,5.0
49,2000,2.0,3.0,2.0,0.0,0.0,1.0,4.0,4.0,1.0
50,2000,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,5.0
51,2000,2.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0
52,2000,2.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0
53,2000,1.0,,3.0,0.0,0.0,1.0,4.0,5.0,5.0
54,2000,2.0,,2.0,1.0,0.0,1.0,5.0,5.0,4.0
55,2000,1.0,,1.0,0.0,0.0,1.0,5.0,5.0,5.0
56,2000,2.0,,0.0,0.0,1.0,1.0,4.0,4.0,4.0
57,2000,1.0,,1.0,1.0,1.0,1.0,3.0,4.0,4.0
58,2000,2.0,,3.0,0.0,1.0,1.0,4.0,4.0,5.0
59,2000,2.0,2.0,3.0,1.0,1.0,0.0,5.0,5.0,1.0
60,2000,1.0,,1.0,0.0,0.0,1.0,4.0,5.0,4.0
61,2000,2.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0
62,2000,1.0,,1.0,0.0,0.0,1.0,4.0,4.0,3.0
63,2000,1.0,,,,1.0,1.0,4.0,4.0,4.0
64,2000,1.0,4.0,,,0.0,1.0,5.0,5.0,5.0
65,2000,2.0,,3.0,1.0,1.0,1.0,4.0,4.0,4.0
66,2000,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,5.0
67,2000,1.0,,3.0,0.0,0.0,1.0,,,
68,2000,1.0,6.0,2.0,1.0,0.0,1.0,3.0,3.0,5.0
69,2000,1.0,6.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0
70,2000,2.0,,1.0,0.0,0.0,1.0,2.0,4.0,4.0
71,2000,2.0,,2.0,1.0,1.0,1.0,4.0,3.0,3.0
72,2000,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0
73,2000,1.0,,3.0,1.0,1.0,1.0,3.0,1.0,1.0
74,2000,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0
75,2000,2.0,3.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0
76,2000,1.0,,3.0,1.0,1.0,1.0,5.0,2.0,4.0
77,2000,2.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,4.0
78,2000,1.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0
79,2000,1.0,,2.0,1.0,1.0,0.0,5.0,5.0,5.0
80,2000,2.0,,3.0,0.0,1.0,1.0,2.0,2.0,4.0
81,2000,1.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0
82,2000,1.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,4.0
83,2000,1.0,6.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0
84,2000,1.0,6.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0
85,2000,2.0,,1.0,1.0,0.0,0.0,5.0,3.0,4.0
86,2000,2.0,,3.0,0.0,0.0,1.0,1.0,1.0,2.0
87,2000,,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0
88,2000,2.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0
89,2000,1.0,,3.0,1.0,1.0,1.0,3.0,3.0,4.0
90,2000,1.0,4.0,2.0,1.0,0.0,1.0,,,
91,2000,1.0,4.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0
92,2000,2.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0
93,2000,2.0,,1.0,0.0,0.0,1.0,4.0,4.0,5.0
94,2000,2.0,4.0,3.0,0.0,1.0,1.0,5.0,4.0,4.0
