RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50001,2016,1,2,0.0,0,0,1,2,3,3
50002,2016,1,4,1.0,1,1,1,3,4,4
50003,2016,2,8,,0,1,1,2,3,3
50004,2016,2,2,1.0,1,0,1,4,5,5
50005,2016,2,8,2.0,1,1,1,4,4,4
50006,2016,2,8,,1,1,1,5,5,5
50007,2016,2,8,1.0,1,1,1,2,1,5
50008,2016,1,2,1.0,1,1,1,4,2,4
50009,2016,2,2,1.0,1,1,1,2,5,4
50010,2016,2,3,,1,1,1,-9,-9,-9
50011,2016,2,3,,0,1,1,3,4,5
50012,2016,1,3,0.0,0,0,0,2,2,2
50013,2016,1,1,2.0,0,1,1,2,3,4
50014,2016,1,8,1.0,0,1,1,5,5,2
50015,2016,1,1,,0,1,1,1,5,5
50016,2016,-9,3,2.0,1,1,1,4,5,4
50017,2016,1,2,2.0,0,0,0,3,1,5
50018,2016,2,8,1.0,1,1,1,2,5,5
50019,2016,1,3,,0,0,0,1,1,5
50020,2016,1,8,2.0,1,1,1,2,2,4
50021,2016,1,8,,1,0,1,4,4,3
50022,2016,1,3,,0,0,0,5,5,4
50023,2016,2,8,1.0,0,0,0,5,4,4
50024,2016,2,8,,1,1,1,1,4,4
50025,2016,2,8,,1,0,1,1,1,4
50026,2016,2,2,,1,1,1,1,1,1
50027,2016,2,1,2.0,0,0,1,1,1,1
50028,2016,2,8,1.0,1,1,1,4,5,4
50029,2016,2,8,,0,1,1,3,4,4
50030,2016,1,3,-9.0,0,0,0,-9,-9,-9
50031,2016,2,8,,1,0,1,4,1,4
50032,2016,2,3,,1,0,0,1,4,3
50033,2016,1,1,,1,1,1,1,1,1
50034,2016,1,1,1.0,1,1,1,1,3,1
50035,2016,1,5,1.0,1,1,1,2,5,5
50036,2016,2,8,,1,1,1,3,3,3
50037,2016,1,1,,0,1,1,1,2,5
50038,2016,2,8,,1,1,1,1,4,4
50039,2016,2,4,1.0,0,1,1,3,2,4
50040,2016,1,3,,0,0,0,2,3,4
50041,2016,1,8,1.0,1,1,1,2,3,4
50042,2016,1,2,,1,1,1,4,4,4
50043,2016,2,8,,1,1,1,4,2,3
50044,2016,1,8,1.0,0,1,1,4,2,5
50045,2016,1,4,,0,1,1,1,3,3
50046,2016,1,3,1.0,0,1,1,1,1,5
50047,2016,2,4,1.0,1,0,1,1,1,5
50048,2016,1,1,,1,1,1,1,1,5
50049,2016,1,8,1.0,0,1,1,4,5,4
50050,2016,1,3,,0,0,0,-9,-9,-9
50051,2016,2,4,,1,0,1,1,1,5
50052,2016,1,8,1.0,1,0,1,3,5,3
50053,2016,1,8,,1,1,1,4,4,4
50054,2016,1,6,1.0,1,1,1,-9,-9,-9
50055,2016,1,4,,1,1,1,1,4,5
50056,2016,1,8,1.0,1,1,1,3,4,5
50057,2016,1,8,2.0,1,1,1,1,1,5
50058,2016,1,2,2.0,1,1,1,2,2,4
50059,2016,2,5,2.0,1,0,1,3,3,5
50060,2016,1,8,,1,0,1,2,2,4
50061,2016,2,8,,0,0,1,4,1,4
50062,2016,1,3,,1,1,1,4,4,4
50063,2016,2,8,,0,1,0,1,1,1
50064,2016,2,4,2.0,1,1,0,4,4,5
50065,2016,1,8,,1,0,1,2,5,4
50066,2016,1,3,1.0,0,1,1,1,1,5
50067,2016,2,-9,2.0,1,1,1,4,3,3
50068,2016,1,8,2.0,0,1,1,4,3,4
50069,2016,2,4,0.0,0,1,1,1,1,5
50070,2016,1,3,1.0,1,1,1,3,5,4
50071,2016,2,8,2.0,1,1,1,4,4,5
50072,2016,2,4,1.0,1,1,1,4,5,4
50073,2016,2,5,,1,1,1,4,4,5
50074,2016,2,2,0.0,0,1,1,1,2,4
50075,2016,2,3,,1,1,1,4,1,5
50076,2016,1,3,,0,1,1,5,4,5
50077,2016,2,8,1.0,0,1,1,2,2,4
50078,2016,2,3,1.0,1,1,1,1,2,5
50079,2016,1,8,2.0,0,1,1,5,4,4
50080,2016,2,3,0.0,0,1,1,2,2,5
50081,2016,2,8,,1,0,1,1,2,4
50082,2016,1,2,1.0,1,1,1,1,1,5
50083,2016,2,3,2.0,1,1,1,4,4,5
50084,2016,2,4,2.0,1,1,1,4,3,4
50085,2016,2,8,1.0,1,0,1,1,5,2
50086,2016,2,3,0.0,0,1,1,5,4,5
50087,2016,1,8,2.0,1,1,1,4,4,4
50088,2016,2,4,,0,0,1,2,2,5
50089,2016,1,8,,1,1,1,3,4,5
50090,2016,1,8,2.0,1,1,1,-9,-9,-9
50091,2016,1,3,,1,1,1,2,5,4
50092,2016,2,2,2.0,1,0,1,1,1,4
50093,2016,1,5,0.0,0,0,1,5,5,3
50094,2016,2,3,,1,1,1,5,5,4
50095,2016,2,8,-9.0,1,1,1,2,5,2
50096,2016,1,8,,1,1,1,3,3,3
50097,2016,1,3,2.0,0,1,1,5,5,2
50098,2016,2,6,,1,1,1,5,5,4
50099,2016,2,8,1.0,1,1,1,1,5,2
50100,2016,2,4,1.0,1,1,1,4,5,4
50101,2016,1,8,,1,0,1,3,3,3
50102,2016,2,2,,1,1,1,1,1,5
50103,2016,2,4,2.0,1,1,1,5,5,4
50104,2016,1,8,2.0,1,1,1,1,2,4
