RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,NUM_SIBS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
1,2010,-9,-9,-9.0,-9,-9,-9,-9,-9,-9
2,2010,-9,-9,-9.0,-9,-9,-9,-9,-9,-9
3,2010,-9,-9,-9.0,-9,-9,-9,-9,-9,-9
4,2010,-9,-9,-9.0,-9,-9,-9,-9,-9,-9
5,2010,2,8,-9.0,-9,0,1,5,3,4
6,2010,2,8,-9.0,-9,1,1,3,5,1
7,2010,1,8,-9.0,-9,1,1,-9,-9,-9
8,2010,2,-9,-9.0,-9,1,1,-9,-9,-9
9,2010,1,8,-9.0,-9,0,1,4,4,1
12,2010,1,8,-9.0,-9,0,0,1,1,1
13,2010,2,5,0.0,0,1,1,5,5,5
15,2010,1,8,-9.0,-9,0,1,4,3,3
16,2010,1,3,-9.0,-9,1,1,1,1,5
17,2010,1,8,-9.0,-9,1,1,4,5,5
19,2010,1,8,2.0,1,1,1,4,5,1
21,2010,2,8,-9.0,-9,1,1,4,5,1
22,2010,2,3,-9.0,-9,0,1,4,1,5
24,2010,1,2,1.0,1,1,1,5,5,1
27,2010,1,3,0.0,0,1,1,5,4,3
28,2010,2,8,2.0,0,0,1,5,5,4
29,2010,2,3,-9.0,-9,0,0,1,4,4
30,2010,2,1,-9.0,-9,1,0,5,5,2
31,2010,2,8,-9.0,-9,0,1,5,-9,5
32,2010,1,8,-9.0,-9,1,1,3,3,3
34,2010,1,8,1.0,1,1,1,1,1,5
35,2010,1,4,1.0,0,1,0,5,5,4
36,2010,-9,1,1.0,1,0,0,2,2,2
37,2010,-9,8,-9.0,0,1,1,3,3,4
39,2010,1,2,-9.0,-9,1,1,3,1,5
40,2010,1,8,-9.0,-9,1,0,5,1,4
41,2010,1,8,-9.0,-9,1,1,1,4,3
43,2010,2,4,0.0,0,1,1,2,3,5
45,2010,2,8,2.0,1,0,0,2,3,4
48,2010,2,8,0.0,0,1,1,2,3,4
49,2010,2,4,2.0,1,1,1,2,3,4
53,2010,2,3,1.0,1,0,1,-9,-9,-9
54,2010,2,8,1.0,1,1,1,2,1,5
56,2010,1,8,-9.0,-9,1,1,2,2,3
